PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21270080","Unanswered questions over NHS health checks","Khunti K, Walker N, Sattar N, Davies M.","BMJ. 2010 Jan 26;342:c6312. doi: 10.1136/bmj.c6312.","Khunti K","BMJ","2010","2011/01/29","","","10.1136/bmj.c6312"
"21270079","How should we balance individual and population benefits of statins for preventing cardiovascular disease?","Hingorani AD, Hemingway H.","BMJ. 2010 Jan 26;342:c6244. doi: 10.1136/bmj.c6244.","Hingorani AD","BMJ","2010","2011/01/29","","","10.1136/bmj.c6244"
"21257655","Strengths and weaknesses of hospital standardised mortality ratios","Bottle A, Jarman B, Aylin P.","BMJ. 2010 Jan 21;342:c7116. doi: 10.1136/bmj.c7116.","Bottle A","BMJ","2010","2011/01/25","","","10.1136/bmj.c7116"
"21233152","Six months of exclusive breast feeding: how good is the evidence?","Fewtrell M, Wilson DC, Booth I, Lucas A.","BMJ. 2010 Jan 13;342:c5955. doi: 10.1136/bmj.c5955.","Fewtrell M","BMJ","2010","2011/01/15","","","10.1136/bmj.c5955"
"21196485","Treating inflammatory arthritis early","Deighton C, Scott DL.","BMJ. 2010 Dec 31;341:c7384. doi: 10.1136/bmj.c7384.","Deighton C","BMJ","2010","2011/01/04","","","10.1136/bmj.c7384"
"21196484","Is estimating lifetime cardiovascular risk useful?","Jackson R, Kerr A, Wells S.","BMJ. 2010 Dec 31;341:c7379. doi: 10.1136/bmj.c7379.","Jackson R","BMJ","2010","2011/01/04","","","10.1136/bmj.c7379"
"21196483","Rheumatoid arthritis","Bosworth AM, Steuer A.","BMJ. 2010 Dec 31;341:c7095. doi: 10.1136/bmj.c7095.","Bosworth AM","BMJ","2010","2011/01/04","","","10.1136/bmj.c7095"
"21196481","More than 700 people need critical care treatment as flu cases surge","Kmietowicz Z.","BMJ. 2010 Dec 31;341:c7459. doi: 10.1136/bmj.c7459.","Kmietowicz Z","BMJ","2010","2011/01/04","","","10.1136/bmj.c7459"
"21193514","US medical school faculty still break conflict of interest rules, report says","Tanne JH.","BMJ. 2010 Dec 30;341:c7435. doi: 10.1136/bmj.c7435.","Tanne JH","BMJ","2010","2011/01/04","","","10.1136/bmj.c7435"
"21193512","Abortions in Spain fell for the first time in a decade in 2009","Rada AG.","BMJ. 2010 Dec 30;341:c7451. doi: 10.1136/bmj.c7451.","Rada AG","BMJ","2010","2011/01/04","","","10.1136/bmj.c7451"
