PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"8541773","Early evidence of scleroderma","Dequeker J, Vanopdenbosch L, Ojugas AC.","BMJ. 1995 Dec 23-30;311(7021):1714-5. doi: 10.1136/bmj.311.7021.1714.","Dequeker J","BMJ","1995","1995/12/23","PMC2539081","","10.1136/bmj.311.7021.1714"
"8541772","Gone to the devil: the murals of Ile Royale hospital","Davidson AJ.","BMJ. 1995 Dec 23-30;311(7021):1713-4. doi: 10.1136/bmj.311.7021.1713.","Davidson AJ","BMJ","1995","1995/12/23","PMC2539091","","10.1136/bmj.311.7021.1713"
"8541771","Views from the gallery","Haslam F.","BMJ. 1995 Dec 23-30;311(7021):1712-3. doi: 10.1136/bmj.311.7021.1712.","Haslam F","BMJ","1995","1995/12/23","PMC2539105","","10.1136/bmj.311.7021.1712"
"8541770","Madness and care in the community: a medieval perspective","Roffe D, Roffe C.","BMJ. 1995 Dec 23-30;311(7021):1708-12. doi: 10.1136/bmj.311.7021.1708.","Roffe D","BMJ","1995","1995/12/23","PMC2539103","","10.1136/bmj.311.7021.1708"
"8541769","Of no fixed abode: homeless house officers","Pembrey S.","BMJ. 1995 Dec 23-30;311(7021):1706-7. doi: 10.1136/bmj.311.7021.1706.","Pembrey S","BMJ","1995","1995/12/23","PMC2539074","","10.1136/bmj.311.7021.1706"
"8541768","Analysis of the bureaucratic unsolicited mountainous paper heap (BUMPH) that general practitioners received in 1994","Kenny D.","BMJ. 1995 Dec 23-30;311(7021):1705-6. doi: 10.1136/bmj.311.7021.1705.","Kenny D","BMJ","1995","1995/12/23","PMC2539090","","10.1136/bmj.311.7021.1705"
"8541767","White coat effects","Gordon PM, Keohane SG, Herd RM.","BMJ. 1995 Dec 23-30;311(7021):1704. doi: 10.1136/bmj.311.7021.1704.","Gordon PM","BMJ","1995","1995/12/23","PMC2539078","","10.1136/bmj.311.7021.1704"
"8541766","Another Christmas carol","Worthington P.","BMJ. 1995 Dec 23-30;311(7021):1702-4. doi: 10.1136/bmj.311.7021.1702.","Worthington P","BMJ","1995","1995/12/23","PMC2539092","","10.1136/bmj.311.7021.1702"
"8541765","Excessive impertinence or a missed diagnosis?","Williams TM, Kim, Williams G.","BMJ. 1995 Dec 23-30;311(7021):1700-1. doi: 10.1136/bmj.311.7021.1700.","Williams TM","BMJ","1995","1995/12/23","PMC2539093","","10.1136/bmj.311.7021.1700"
"8541764","Florence Nightingale's fever","Young DA.","BMJ. 1995 Dec 23-30;311(7021):1697-700. doi: 10.1136/bmj.311.7021.1697.","Young DA","BMJ","1995","1995/12/23","PMC2539100","","10.1136/bmj.311.7021.1697"
"8541763","A new breed of parasuicide patient","Doyle G.","BMJ. 1995 Dec 23-30;311(7021):1696. doi: 10.1136/bmj.311.7021.1696.","Doyle G","BMJ","1995","1995/12/23","PMC2539075","","10.1136/bmj.311.7021.1696"
"8541762","Postal diagnosis: breaking the bad news in the 17th century","Forrester J.","BMJ. 1995 Dec 23-30;311(7021):1694-6. doi: 10.1136/bmj.311.7021.1694.","Forrester J","BMJ","1995","1995/12/23","PMC2539079","","10.1136/bmj.311.7021.1694"
"8541761","A case for non-intervention","Fowler D.","BMJ. 1995 Dec 23-30;311(7021):1691-3. doi: 10.1136/bmj.311.7021.1691.","Fowler D","BMJ","1995","1995/12/23","PMC2539088","","10.1136/bmj.311.7021.1691"
"8541760","How I'd like to be treated if I was terminally ill","Groves KE.","BMJ. 1995 Dec 23-30;311(7021):1690-1. doi: 10.1136/bmj.311.7021.1690.","Groves KE","BMJ","1995","1995/12/23","PMC2539072","","10.1136/bmj.311.7021.1690"
"8541759","The aftermath of disaster","Swire J.","BMJ. 1995 Dec 23-30;311(7021):1688-9. doi: 10.1136/bmj.311.7021.1688.","Swire J","BMJ","1995","1995/12/23","PMC2539082","","10.1136/bmj.311.7021.1688"
"8541758","Hospice at home","Woyka J.","BMJ. 1995 Dec 23-30;311(7021):1687-8. doi: 10.1136/bmj.311.7021.1687.","Woyka J","BMJ","1995","1995/12/23","PMC2539089","","10.1136/bmj.311.7021.1687"
"8541757","Great expectorations! The decline of public spitting: lessons for passive smoking?","Chapman S.","BMJ. 1995 Dec 23-30;311(7021):1685-6. doi: 10.1136/bmj.311.7021.1685.","Chapman S","BMJ","1995","1995/12/23","PMC2539083","","10.1136/bmj.311.7021.1685"
"8541756","Infectious diseases: an ecological perspective","Wilson ME.","BMJ. 1995 Dec 23-30;311(7021):1681-4. doi: 10.1136/bmj.311.7021.1681.","Wilson ME","BMJ","1995","1995/12/23","PMC2539080","","10.1136/bmj.311.7021.1681"
"8541755","The international arms trade and its impact on health","Sidel VW.","BMJ. 1995 Dec 23-30;311(7021):1677-80. doi: 10.1136/bmj.311.7021.1677.","Sidel VW","BMJ","1995","1995/12/23","PMC2539084","","10.1136/bmj.311.7021.1677"
