PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"17729438","Joy of rapid responses. Summary of responses","Twisselmann B.","BMJ. 2004 Mar 13;328(7440):645. doi: 10.1136/bmj.328.7440.645-c.","Twisselmann B","BMJ","2004","2007/08/31","PMC381187","","10.1136/bmj.328.7440.645-c"
"17729437","Joy of rapid responses. Rapid responses are useful...but perhaps not entirely effective","Wharfield L.","BMJ. 2004 Mar 13;328(7440):645. doi: 10.1136/bmj.328.7440.645-b.","Wharfield L","BMJ","2004","2007/08/31","PMC381186","","10.1136/bmj.328.7440.645-b"
"17729436","Joy of rapid responses. Rapid responses are useful..","Colquitt PJ.","BMJ. 2004 Mar 13;328(7440):645. doi: 10.1136/bmj.328.7440.645-a.","Colquitt PJ","BMJ","2004","2007/08/31","PMC381185","","10.1136/bmj.328.7440.645-a"
"17729435","Joy of rapid responses. Don't take points raised in open and free discussion personally","Parmar MS.","BMJ. 2004 Mar 13;328(7440):644-5. doi: 10.1136/bmj.328.7440.644-c.","Parmar MS","BMJ","2004","2007/08/31","PMC381184","","10.1136/bmj.328.7440.644-c"
"17726834","Joy of rapid responses. Readers read articles more closely when they can respond","Vasenwala M.","BMJ. 2004 Mar 13;328(7440):645. doi: 10.1136/bmj.328.7440.645.","Vasenwala M","BMJ","2004","2007/08/31","PMC381147","","10.1136/bmj.328.7440.645"
"17726833","Why I'm a reluctant rapid responder","Fazel M.","BMJ. 2004 Feb 14;328(7436):413. doi: 10.1136/bmj.328.7436.413.","Fazel M","BMJ","2004","2007/08/31","PMC341409","","10.1136/bmj.328.7436.413"
"16410240","Medical faculty members at different professorial levels","Student.","BMJ. 2005 Dec 24;331(7531):1530. doi: 10.1136/bmj.331.7531.1530.","Student","BMJ","2005","2006/01/18","PMC1322256","","10.1136/bmj.331.7531.1530"
"16377644","Detection of secretory IgA antibodies against gliadin and human tissue transglutaminase in stool to screen for coeliac disease in children: validation study","Kappler M, Krauss-Etschmann S, Diehl V, Zeilhofer H, Koletzko S.","BMJ. 2006 Jan 28;332(7535):213-4. doi: 10.1136/bmj.38688.654028.AE. Epub 2005 Dec 23.","Kappler M","BMJ","2006","2005/12/27","PMC1352053","","10.1136/bmj.38688.654028.AE"
"16377643","Didgeridoo playing as alternative treatment for obstructive sleep apnoea syndrome: randomised controlled trial","Puhan MA, Suarez A, Lo Cascio C, Zahn A, Heitz M, Braendli O.","BMJ. 2006 Feb 4;332(7536):266-70. doi: 10.1136/bmj.38705.470590.55. Epub 2005 Dec 23.","Puhan MA","BMJ","2006","2005/12/27","PMC1360393","","10.1136/bmj.38705.470590.55"
"16373749","Slow tracking for BMJ papers","Martyn C.","BMJ. 2005 Dec 24;331(7531):1551-2. doi: 10.1136/bmj.331.7531.1551.","Martyn C","BMJ","2005","2005/12/24","PMC1322265","","10.1136/bmj.331.7531.1551"
"16373748","What is successful ageing and who should define it?","Bowling A, Dieppe P.","BMJ. 2005 Dec 24;331(7531):1548-51. doi: 10.1136/bmj.331.7531.1548.","Bowling A","BMJ","2005","2005/12/24","PMC1322264","","10.1136/bmj.331.7531.1548"
"16373747","Obesity: the elephant in the corner","Ogilvie D, Hamlet N.","BMJ. 2005 Dec 24;331(7531):1545-8. doi: 10.1136/bmj.331.7531.1545.","Ogilvie D","BMJ","2005","2005/12/24","PMC1322263","","10.1136/bmj.331.7531.1545"
"16373746","Cinderella revisited","Cameron SM.","BMJ. 2005 Dec 24;331(7531):1543-4. doi: 10.1136/bmj.331.7531.1543.","Cameron SM","BMJ","2005","2005/12/24","PMC1322262","","10.1136/bmj.331.7531.1543"
"16373745","From Shakespeare to Star Trek and beyond: a Medline search for literary and other allusions in biomedical titles","Goodman NW.","BMJ. 2005 Dec 24;331(7531):1540-2. doi: 10.1136/bmj.331.7531.1540.","Goodman NW","BMJ","2005","2005/12/24","PMC1322261","","10.1136/bmj.331.7531.1540"
"16373744","Epidemiology and prognosis of coma in daytime television dramas","Casarett D, Fishman JM, MacMoran HJ, Pickard A, Asch DA.","BMJ. 2005 Dec 24;331(7531):1537-9. doi: 10.1136/bmj.331.7531.1537.","Casarett D","BMJ","2005","2005/12/24","PMC1322260","","10.1136/bmj.331.7531.1537"
"16373743","Influenza, 1918","Wilson IH.","BMJ. 2005 Dec 24;331(7531):1536. doi: 10.1136/bmj.331.7531.1536.","Wilson IH","BMJ","2005","2005/12/24","PMC1322259","","10.1136/bmj.331.7531.1536"
"16373742","Painting the history of cardiology","Lomas D.","BMJ. 2005 Dec 24;331(7531):1533-5. doi: 10.1136/bmj.331.7531.1533.","Lomas D","BMJ","2005","2005/12/24","PMC1322258","","10.1136/bmj.331.7531.1533"
"16373741","Beatty's box","Crumplin MK, Pearce R.","BMJ. 2005 Dec 24;331(7531):1531-2. doi: 10.1136/bmj.331.7531.1531.","Crumplin MK","BMJ","2005","2005/12/24","PMC1322257","","10.1136/bmj.331.7531.1531"
"16373740","Patients bearing gifts: are there strings attached?","Spence SA.","BMJ. 2005 Dec 24;331(7531):1527-9. doi: 10.1136/bmj.331.7531.1527.","Spence SA","BMJ","2005","2005/12/24","PMC1322254","","10.1136/bmj.331.7531.1527"
