PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"12141321","National screening programme for diabetic retinopathy. Staff are already available to do this job","Broughton R.","BMJ. 2001 Oct 27;323(7319):999.","Broughton R","BMJ","2001","2002/07/27","","",""
"10567159","Reducing the risk of major elective surgery. Paper should have given details on causes of death","Sudhindran S.","BMJ. 1999 Nov 20;319(7221):1369; author reply 1370-1. doi: 10.1136/bmj.319.7221.1369a.","Sudhindran S","BMJ","1999","2002/04/09","PMC1117099","","10.1136/bmj.319.7221.1369a"
"11794254","Systematic reviews of evaluations of diagnostic and screening tests. Two issues were simplified","ter Riet G, Kessels AG, Bachmann LM.","BMJ. 2001 Nov 17;323(7322):1188.","ter Riet G","BMJ","2001","2002/01/17","","",""
"11794253","Declaring competing interests. Types of competing interests would be of interest","Papanikolaou GN, Ioannidis JP.","BMJ. 2001 Nov 17;323(7322):1187-8.","Papanikolaou GN","BMJ","2001","2002/01/17","","",""
"11794252","Vocational rehabilitation. Armed services may provide model","McCurdie I, Carter N.","BMJ. 2001 Nov 17;323(7322):1186-7.","McCurdie I","BMJ","2001","2002/01/17","","",""
"11794251","Vocational rehabilitation. Proposed national vocational rehabilitation institute is step in right direction","Leach J.","BMJ. 2001 Nov 17;323(7322):1186.","Leach J","BMJ","2001","2002/01/17","","",""
"11794250","Vocational rehabilitation. New training and funding strategies are needed","Paschkes-Bell G.","BMJ. 2001 Nov 17;323(7322):1186.","Paschkes-Bell G","BMJ","2001","2002/01/17","PMC1121656","",""
"11794249","Electronic patient records in general practice. Published methods of measuring the accuracy of electronic records do exist","Bayliss Brown PJ.","BMJ. 2001 Nov 17;323(7322):1184; author reply 1184. doi: 10.1136/bmj.323.7322.1184a.","Bayliss Brown PJ","BMJ","2001","2002/01/17","","","10.1136/bmj.323.7322.1184a"
"11794248","Electronic patient records in general practice. Methods of evaluation of electronic patient records entail dangers","Newcombe RG, Altman DG, Bryant TN.","BMJ. 2001 Nov 17;323(7322):1184-5.","Newcombe RG","BMJ","2001","2002/01/17","","",""
"11794247","Nodular thyroid disease. Abnormal thyroid function may be positive discriminator for malignancy","Sayer GL.","BMJ. 2001 Nov 17;323(7322):1184. doi: 10.1136/bmj.323.7322.1184.","Sayer GL","BMJ","2001","2002/01/17","PMC1121653","","10.1136/bmj.323.7322.1184"
