PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"24473495","Syrian doctor who gave medical aid to protesters dies in custody","Arie S.","BMJ. 2013 Oct 1;347:f5951. doi: 10.1136/bmj.f5951.","Arie S","BMJ","2013","2014/01/30","","","10.1136/bmj.f5951"
"24473494","Cameron announces plan for seven day access to GPs","Iacobucci G.","BMJ. 2013 Oct 1;347:f5949. doi: 10.1136/bmj.f5949.","Iacobucci G","BMJ","2013","2014/01/30","","","10.1136/bmj.f5949"
"24473452","Rabies: beware of the dog","Chatterjee S, Riaz H.","BMJ. 2013 Oct 1;347:f5912. doi: 10.1136/bmj.f5912.","Chatterjee S","BMJ","2013","2014/01/30","","","10.1136/bmj.f5912"
"24473451","Smoking status and the effects of antiplatelet drugs","Hirschl MM.","BMJ. 2013 Oct 1;347:f5909. doi: 10.1136/bmj.f5909.","Hirschl MM","BMJ","2013","2014/01/30","","","10.1136/bmj.f5909"
"24473450","The challenge of doing less","Dyer O.","BMJ. 2013 Oct 1;347:f5904. doi: 10.1136/bmj.f5904.","Dyer O","BMJ","2013","2014/01/30","","","10.1136/bmj.f5904"
"24473449","Doctors should carry out more biopsies on secondary breast cancers, researchers say","Hawkes N.","BMJ. 2013 Oct 1;347:f5856. doi: 10.1136/bmj.f5856.","Hawkes N","BMJ","2013","2014/01/30","","","10.1136/bmj.f5856"
"24473448","Turning a blind eye to alternative medicine education","Marcus DM.","BMJ. 2013 Oct 1;347:f5827. doi: 10.1136/bmj.f5827.","Marcus DM","BMJ","2013","2014/01/30","","","10.1136/bmj.f5827"
"24473447","Does NHS England have a slow puncture?","Hawkes N.","BMJ. 2013 Oct 1;347:f5812. doi: 10.1136/bmj.f5812.","Hawkes N","BMJ","2013","2014/01/30","","","10.1136/bmj.f5812"
"24473446","Gout","Roddy E, Mallen CD, Doherty M.","BMJ. 2013 Oct 1;347:f5648. doi: 10.1136/bmj.f5648.","Roddy E","BMJ","2013","2014/01/30","","","10.1136/bmj.f5648"
"24473256","GP is struck off after exposure by television documentary","Dyer C.","BMJ. 2013 Oct 1;347:f5914. doi: 10.1136/bmj.f5914.","Dyer C","BMJ","2013","2014/01/30","","","10.1136/bmj.f5914"
"24473061","Comparative effectiveness of exercise and drug interventions on mortality outcomes: metaepidemiological study","Naci H, Ioannidis JP.","Version 2. BMJ. 2013 Oct 1;347:f5577. doi: 10.1136/bmj.f5577.","Naci H","BMJ","2013","2014/01/30","PMC3788175","","10.1136/bmj.f5577"
"24473060","Association between body mass index and cardiovascular disease mortality in east Asians and south Asians: pooled analysis of prospective data from the Asia Cohort Consortium","Chen Y, Copeland WK, Vedanthan R, Grant E, Lee JE, Gu D, Gupta PC, Ramadas K, Inoue M, Tsugane S, Tamakoshi A, Gao YT, Yuan JM, Shu XO, Ozasa K, Tsuji I, Kakizaki M, Tanaka H, Nishino Y, Chen CJ, Wang R, Yoo KY, Ahn YO, Ahsan H, Pan WH, Chen CS, Pednekar MS, Sauvaget C, Sasazuki S, Yang G, Koh WP, Xiang YB, Ohishi W, Watanabe T, Sugawara Y, Matsuo K, You SL, Park SK, Kim DH, Parvez F, Chuang SY, Ge W, Rolland B, McLerran D, Sinha R, Thornquist M, Kang D, Feng Z, Boffetta P, Zheng W, He J, Potter JD.","Version 2. BMJ. 2013 Oct 1;347:f5446. doi: 10.1136/bmj.f5446.","Chen Y","BMJ","2013","2014/01/30","PMC3788174","","10.1136/bmj.f5446"
"24381238","EU directive on patients' rights to cross border healthcare","Horgan D, Byrne D, Brand A.","BMJ. 2013 Dec 31;347:f7694. doi: 10.1136/bmj.f7694.","Horgan D","BMJ","2013","2014/01/02","","","10.1136/bmj.f7694"
"24381237","Medicare slashes payment for BRCA test","McCarthy M.","BMJ. 2013 Dec 31;347:f7709. doi: 10.1136/bmj.f7709.","McCarthy M","BMJ","2013","2014/01/02","","","10.1136/bmj.f7709"
