PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32469484","Screening for Covid-19 in Skilled Nursing Facilities. Reply","Gandhi M, Yokoe DS, Havlir DV.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2017362#sa5. doi: 10.1056/NEJMc2017362. Online ahead of print.","Gandhi M","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2017362"
"32469483","Screening for Covid-19 in Skilled Nursing Facilities. Reply","Hatfield KM, Reddy SC, Jernigan JA.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2017362#sa4. doi: 10.1056/NEJMc2017362. Online ahead of print.","Hatfield KM","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2017362"
"32469482","Screening for Covid-19 in Skilled Nursing Facilities","Huber DH.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2017362#sa3. doi: 10.1056/NEJMc2017362. Online ahead of print.","Huber DH","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2017362"
"32469481","Screening for Covid-19 in Skilled Nursing Facilities","Calbo E, Masats Ú, Garau J.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2017362#sa2. doi: 10.1056/NEJMc2017362. Online ahead of print.","Calbo E","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2017362"
"32469480","Screening for Covid-19 in Skilled Nursing Facilities","Krsak M, Henao-Martínez AF, Franco-Paredes C.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2017362#sa1. doi: 10.1056/NEJMc2017362. Online ahead of print.","Krsak M","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2017362"
"32469479","The South African Response to the Pandemic","Abdool Karim SS.","N Engl J Med. 2020 May 29. doi: 10.1056/NEJMc2014960. Online ahead of print.","Abdool Karim SS","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2014960"
"32469478","How to Obtain a Nasopharyngeal Swab Specimen. Reply","Marty FM, Chen K, Verrill KA.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2015949#sa5. doi: 10.1056/NEJMc2015949. Online ahead of print.","Marty FM","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2015949"
"32469477","How to Obtain a Nasopharyngeal Swab Specimen","Fuji S.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2015949#sa4. doi: 10.1056/NEJMc2015949. Online ahead of print.","Fuji S","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2015949"
"32469476","How to Obtain a Nasopharyngeal Swab Specimen","McRae-Siebenbrodt C, Tillmann HL, Hostler CJ.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2015949#sa3. doi: 10.1056/NEJMc2015949. Online ahead of print.","McRae-Siebenbrodt C","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2015949"
"32469475","How to Obtain a Nasopharyngeal Swab Specimen","Liu T, Li N, Dong N.","N Engl J Med. 2020 May 29;382:10.1056/NEJMc2015949#sa2. doi: 10.1056/NEJMc2015949. Online ahead of print.","Liu T","N Engl J Med","2020","2020/05/30","","","10.1056/NEJMc2015949"
