PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"7491163","Headphone neuralgia","Skelton AK, Fried RA.","N Engl J Med. 1995 Dec 28;333(26):1786-7. doi: 10.1056/NEJM199512283332619.","Skelton AK","N Engl J Med","1995","1995/12/28","","","10.1056/NEJM199512283332619"
"7491162","Diverticulitis","Parikh VA.","N Engl J Med. 1995 Dec 28;333(26):1786.","Parikh VA","N Engl J Med","1995","1995/12/28","","",""
"7491161","Diverticulitis","Harford W, Peterson WL.","N Engl J Med. 1995 Dec 28;333(26):1786.","Harford W","N Engl J Med","1995","1995/12/28","","",""
"7491160","Diverticulitis","David J, Ozick LA.","N Engl J Med. 1995 Dec 28;333(26):1785-6.","David J","N Engl J Med","1995","1995/12/28","","",""
"7491159","Sudden death during sports activities","Sinclair JB.","N Engl J Med. 1995 Dec 28;333(26):1785. doi: 10.1056/NEJM199512283332618.","Sinclair JB","N Engl J Med","1995","1995/12/28","","","10.1056/NEJM199512283332618"
"7491158","Sudden death during sports activities","Fontaine G, Fontaliran F.","N Engl J Med. 1995 Dec 28;333(26):1784-5.","Fontaine G","N Engl J Med","1995","1995/12/28","","",""
"7491157","Sudden death during sports activities","Dixon AE, Shulman S.","N Engl J Med. 1995 Dec 28;333(26):1784; author reply 1785. doi: 10.1056/NEJM199512283332617.","Dixon AE","N Engl J Med","1995","1995/12/28","","","10.1056/NEJM199512283332617"
"7491156","The long-QT syndrome","Schulze-Bahr E, Haverkamp W, Funke H.","N Engl J Med. 1995 Dec 28;333(26):1783-4.","Schulze-Bahr E","N Engl J Med","1995","1995/12/28","","",""
"7491155","Early treatment of HIV infection","Cates W Jr, Cohen MS.","N Engl J Med. 1995 Dec 28;333(26):1783. doi: 10.1056/NEJM199512283332616.","Cates W Jr","N Engl J Med","1995","1995/12/28","","","10.1056/NEJM199512283332616"
"7491154","Early treatment of HIV infection","Schwartz DH.","N Engl J Med. 1995 Dec 28;333(26):1782; author reply 1783.","Schwartz DH","N Engl J Med","1995","1995/12/28","","",""
"7491153","Early treatment of HIV infection","Fessel WJ.","N Engl J Med. 1995 Dec 28;333(26):1782; author reply 1783.","Fessel WJ","N Engl J Med","1995","1995/12/28","","",""
"7491152","The oversupply of specialists and graduates of foreign medical schools","Robinson BW.","N Engl J Med. 1995 Dec 28;333(26):1782.","Robinson BW","N Engl J Med","1995","1995/12/28","","",""
